,frame_inds,all_dists,blob_points_x,blob_points_y
0,1000,109.66193438242594,687,672
1,1001,110.29436383853748,686,672
2,1002,110.15119819802322,686,672
3,1003,110.02262131104773,686,672
4,1004,110.14326573996165,686,672
5,1005,109.9849466358483,686,672
6,1006,109.79094898080092,686,672
7,1007,109.727219914524,686,672
8,1008,109.47273579755372,688,672
9,1009,109.65595894517332,688,672
10,1010,109.77400612741532,688,672
11,1011,108.13719701978141,688,672
12,1012,109.47203459380269,688,672
13,1013,109.46129060302964,688,672
14,1014,109.55417533959975,692,671
15,1015,109.15779896677212,688,672
16,1016,109.06645037388294,688,672
17,1017,109.07286813676964,688,672
18,1018,107.61191792578055,688,672
19,1019,107.59588136207938,688,672
20,1020,107.88627556488791,693,671
21,1021,109.23687243974379,693,671
22,1022,108.80563905669212,689,672
23,1023,109.31745521446982,694,671
24,1024,110.00313162160934,694,671
25,1025,110.27160407924538,693,671
26,1026,110.33559400548152,693,671
27,1027,110.27060331683047,688,672
28,1028,110.11200991556379,688,672
29,1029,109.63618641680706,688,672
30,1030,109.71896971744,688,672
31,1031,109.82269011922256,688,672
32,1032,110.22457897520115,688,672
33,1033,110.28970979446017,694,671
34,1034,110.25528807959266,688,672
35,1035,110.22705217167245,688,672
36,1036,110.49985753511466,686,672
37,1037,110.0767840814106,693,671
38,1038,110.01462303224987,693,671
39,1039,110.16677294711684,693,671
40,1040,110.05675739966627,693,671
41,1041,110.0658173668034,693,671
42,1042,109.11371934838509,687,673
43,1043,109.27869689207608,687,673
44,1044,109.89651947563972,688,672
45,1045,110.60392135761664,688,672
46,1046,110.45643503855683,688,672
47,1047,108.43180654240516,688,672
48,1048,108.99355247010068,688,672
49,1049,108.48171501193106,688,672
50,1050,110.1238809916318,688,672
51,1051,110.09406416338521,688,672
52,1052,110.26405997494759,688,672
53,1053,110.72404015460656,688,672
54,1054,110.60626951573107,688,672
55,1055,111.76443300637492,688,672
56,1056,110.59625359892954,695,671
57,1057,110.83872810995449,695,671
58,1058,110.47292618878554,695,671
59,1059,110.84582355467788,695,671
60,1060,111.80300769028128,686,672
61,1061,111.3669848636756,688,672
62,1062,111.40501804426361,688,672
63,1063,111.41395224901542,688,672
64,1064,111.6017652462522,686,672
65,1065,111.68375333934917,686,672
66,1066,111.17147774536575,686,672
67,1067,111.23028503777904,686,672
68,1068,110.08285602411063,695,671
69,1069,110.23079502776322,695,671
70,1070,110.29647023226286,695,671
71,1071,110.36845108965042,695,671
72,1072,110.690610560432,695,671
73,1073,110.63304672411044,695,671
74,1074,110.84249087840337,695,671
75,1075,111.03938587800609,695,671
76,1076,111.1018184650601,688,672
77,1077,111.10419267838915,688,672
78,1078,110.70679319588035,688,672
79,1079,110.73918574321839,688,672
80,1080,111.57758956248715,686,672
81,1081,110.83565437339955,686,672
82,1082,109.59224525484416,686,672
83,1083,109.69270653743763,686,672
84,1084,109.44520215053701,686,672
85,1085,111.21979149062882,686,672
86,1086,111.30966930744948,686,672
87,1087,110.73526370323496,684,673
88,1088,111.03603206904761,684,673
89,1089,111.15239316303762,684,673
90,1090,111.3364783095338,684,673
91,1091,111.25728600672899,684,673
92,1092,111.58512186734374,694,671
93,1093,111.34999848093534,694,671
94,1094,111.25840648551562,694,671
95,1095,111.22070211992825,693,671
96,1096,110.95414705086782,693,671
97,1097,111.0399170546895,692,671
98,1098,110.76876910883044,688,672
99,1099,110.44407895869212,694,671
100,1100,110.34374286764822,694,671
101,1101,110.35629005990012,694,671
102,1102,110.6267210174065,694,671
103,1103,110.68747129963621,688,672
104,1104,111.68487028717836,686,672
105,1105,111.85743720482527,686,672
106,1106,111.88465587568632,686,672
107,1107,111.67681649568284,687,672
108,1108,111.60360610348934,687,672
109,1109,111.60063085417515,687,672
110,1110,111.2354555341428,687,672
111,1111,111.39340301591702,687,672
112,1112,111.48651155918604,687,672
113,1113,110.95922756564586,687,672
114,1114,111.2488786639871,687,672
115,1115,110.97621724754104,687,672
116,1116,110.03225745183352,695,671
117,1117,109.45296224894122,688,672
118,1118,109.51177946799636,688,672
119,1119,109.5659404944015,688,672
120,1120,110.62249197635765,688,672
121,1121,109.8992864605702,688,672
122,1122,110.44834038234232,688,672
123,1123,110.91899297746475,687,672
124,1124,110.99445435427408,687,672
125,1125,111.0782584703899,687,672
126,1126,110.67720496893725,687,672
127,1127,110.41432047776142,687,672
128,1128,110.7522920900174,695,671
129,1129,110.67710680595785,695,671
130,1130,110.80170969437076,695,671
131,1131,110.48080122073947,695,671
132,1132,110.4371509828656,695,671
133,1133,110.61479335236281,695,671
134,1134,110.72738968588924,695,671
135,1135,110.63124412767858,695,671
136,1136,110.53703164348065,695,671
137,1137,110.49414467659439,695,671
138,1138,110.5737100611832,695,671
139,1139,110.34735787517184,695,671
140,1140,109.55519256886481,687,673
141,1141,109.52983844683526,687,673
142,1142,109.36053783555707,687,673
143,1143,109.5320958971624,687,673
144,1144,108.70029943068263,687,673
145,1145,107.89869866271532,687,673
146,1146,108.00671237531871,687,673
147,1147,108.36207303834027,687,673
148,1148,109.33897074382602,687,673
149,1149,110.10634034500644,687,673
150,1150,110.26217301726483,687,673
151,1151,110.27721930049866,690,672
152,1152,111.12559933307699,688,672
153,1153,111.00038072002181,688,672
154,1154,110.90552733973021,688,672
155,1155,110.9502436585134,688,672
156,1156,110.95857302457904,688,672
157,1157,110.98327486209448,688,672
158,1158,111.23289200166876,688,672
159,1159,111.10347362412568,688,672
160,1160,110.94015617481615,688,672
161,1161,110.76200440974858,688,672
162,1162,110.71159011714286,688,672
163,1163,110.60865057063931,688,672
164,1164,110.92621390093811,694,671
165,1165,110.56658107219488,694,671
166,1166,110.84190005099855,694,671
167,1167,111.14356056143177,694,671
168,1168,110.86699639606248,694,671
169,1169,111.178805214533,694,671
170,1170,111.20758048480384,688,672
171,1171,111.4596894528171,688,672
172,1172,111.17343256329073,688,672
173,1173,111.06599094768846,688,672
174,1174,111.08412483976097,688,672
175,1175,111.20534731988135,688,672
176,1176,110.30156220257811,694,671
177,1177,109.50867590946909,694,671
178,1178,109.86537385953297,693,671
179,1179,109.61008771649692,693,671
180,1180,111.02491537749535,693,671
181,1181,111.38169698784723,686,672
182,1182,111.32766384005818,686,672
183,1183,111.41551187444676,686,672
184,1184,111.57748677946675,686,672
185,1185,111.36746979581993,686,672
186,1186,111.43540481668313,686,672
187,1187,111.5181904287806,686,672
188,1188,110.99644793823616,694,671
189,1189,111.12922861184968,694,671
190,1190,111.49702363877225,687,672
