,frame_inds,all_dists,blob_points_x,blob_points_y
0,700,74.74514670358904,875,609
1,701,65.96482160661839,882,602
2,702,54.128549661794885,892,595
3,703,35.452282483089924,910,591
4,704,29.311461688587805,915,588
5,705,20.76606513397233,921,583
6,706,20.13799517949227,921,584
7,707,20.046274090321475,920,581
8,708,20.464788839565443,923,578
9,709,20.13604364872972,925,576
10,710,20.430467010309215,925,572
11,711,20.824399948584027,923,579
12,712,20.395470052533017,925,571
13,713,20.443952435836287,925,572
14,714,20.756796620685506,931,562
15,715,20.498212341324084,933,561
16,716,22.975158818203067,932,558
17,717,25.51286291653277,931,556
18,718,27.964180275809767,933,553
19,719,33.17441776510736,930,551
20,720,34.66149224963441,931,548
21,721,42.460982727344295,930,540
22,722,43.020978023822224,931,539
23,723,42.99270451388386,931,539
24,724,43.42906977579947,930,539
25,725,49.66785375399521,931,532
26,726,54.81069505172148,930,527
27,727,62.23859987379065,931,520
28,728,65.7005802820957,927,517
29,729,70.88547495956193,928,511
30,730,74.92310815205042,901,519
31,731,73.94786747489808,904,518
32,732,79.68873573675079,908,508
33,733,86.14470343180562,906,502
34,734,87.71134265827912,901,503
35,735,93.5266821168743,902,496
36,736,104.00067734042835,893,489
37,737,107.34623252513715,895,484
38,738,112.80571100805439,893,479
39,739,119.37361027418257,868,488
40,740,124.6634457798794,885,470
41,741,131.63592032689317,862,477
42,742,135.30740182095502,861,473
43,743,139.66115784206573,858,470
44,744,143.4655237866757,856,467
45,745,147.02025962916179,855,463
46,746,153.49541126066245,850,459
47,747,157.33249038662728,849,455
48,748,159.39454198426372,848,453
49,749,160.60836328783367,846,453
50,750,162.87267582131048,846,450
51,751,165.0896221925198,845,448
52,752,165.8104946687624,845,447
53,753,167.91290860646407,843,446
54,754,168.52949586060305,842,446
55,755,169.43930003505662,842,445
56,756,170.23310017784615,841,445
57,757,170.91587168069967,841,444
58,758,171.51926972633325,840,444
59,759,172.26812272845294,839,444
60,760,172.92305881513482,839,443
61,761,174.06584962866626,837,443
62,762,176.19813460643738,835,442
63,763,178.84359361736122,832,441
64,764,181.33279520568743,827,442
65,765,172.75474474081847,815,466
66,766,187.7139985537233,820,440
67,767,187.60411743622427,818,442
68,768,188.9529026027504,815,443
69,769,190.25462916560627,812,444
70,770,194.4637191105205,808,442
71,771,198.0763923478852,805,440
72,772,201.46530256270893,801,439
73,773,204.9450488629676,797,438
74,774,210.04334749041442,790,438
75,775,213.7014026569999,786,437
76,776,213.8581958639948,784,439
77,777,193.3499823751955,793,460
78,778,178.16975198692904,808,466
79,779,178.70558550028943,808,465
80,780,183.34443616032596,803,463
81,781,186.47236082673652,800,462
82,782,188.09808394512353,797,463
83,783,190.86748722093168,792,465
84,784,192.44302881029736,790,465
85,785,207.43978962269668,778,456
86,786,204.27420391398263,779,460
87,787,205.03358756849238,778,460
88,788,205.98071731108672,777,460
89,789,207.604465863706,775,460
90,790,208.35903677804748,774,460
91,791,207.7884960934169,774,461
92,792,208.7364210209495,772,461
93,793,203.08490597339494,776,466
94,794,203.97519466492236,775,466
95,795,196.10443386689062,780,473
96,796,196.61572708601622,780,472
97,797,198.5953350615124,779,470
98,798,198.60206778079638,779,470
99,799,199.99469871545205,778,469
100,800,202.82154607639222,776,467
101,801,202.74179623034198,776,467
102,802,190.51391102766914,783,479
103,803,190.07759023789887,787,474
104,804,190.6841328544033,784,476
105,805,190.57496961663506,783,478
106,806,190.04833829379615,783,480
107,807,188.9972848440651,783,482
108,808,189.2830712485732,782,483
109,809,187.0932432656624,784,484
110,810,198.77508238745403,774,477
111,811,187.47709529297438,780,489
112,812,200.2990403128803,770,480
113,813,239.38469003890074,724,485
114,814,238.94043527191738,724,486
115,815,191.51292626372572,778,484
116,816,190.83082253964062,779,483
117,817,186.6724964189316,782,486
118,818,186.33011595635992,783,485
119,819,177.6613988464469,789,492
120,820,176.77622155889208,790,492
121,821,182.8943845390703,787,485
122,822,182.89214327549448,787,485
123,823,182.3157462039821,787,486
124,824,180.9444422206412,788,487
125,825,181.83120432930798,787,487
126,826,179.93765947382303,788,489
127,827,177.4965965722294,792,487
128,828,175.3254214228386,795,487
129,829,175.40895521435343,796,485
130,830,170.47611558297368,800,488
131,831,165.3278610970447,803,493
132,832,171.48024621046764,797,491
133,833,171.841402397669,798,489
134,834,171.59566210657883,797,491
135,835,173.18126288795722,797,488
136,836,174.57538574224796,796,487
137,837,225.99373170033516,737,489
138,838,170.64179636369445,797,493
139,839,171.21257914574883,797,492
140,840,178.42090601583422,793,484
141,841,178.64452884257344,793,484
142,842,178.36713696888188,792,486
143,843,178.4727568441497,792,486
144,844,170.68146612180504,798,491
145,845,176.33259904925143,795,484
146,846,173.00077500363102,797,487
147,847,177.89163821992113,793,484
148,848,177.74669695260295,792,486
149,849,177.8198399425821,792,486
150,850,177.3524966358898,792,487
151,851,175.24396176963347,794,488
152,852,176.01737902042905,793,488
153,853,174.70995589545666,794,489
154,854,170.37600956960412,797,492
155,855,169.48498419943365,798,493
156,856,166.25372634333556,800,495
157,857,169.50060197684314,798,493
158,858,168.48765933594814,798,494
159,859,160.2648003429032,804,500
160,860,174.30418601346923,793,491
161,861,173.80607043354107,793,492
162,862,173.34616991583718,793,493
163,863,172.01047402638972,794,494
164,864,172.99582102891657,793,494
165,865,173.08903815667472,793,494
166,866,173.13264298025132,793,494
167,867,173.0337944056075,793,494
168,868,173.37339797172368,793,494
169,869,173.32790082028984,793,494
170,870,171.4660411910335,794,496
171,871,171.4348602199683,794,496
172,872,174.5539518758351,791,495
173,873,172.85432076036855,792,496
174,874,173.67405064235098,791,496
175,875,177.6414390145063,787,495
176,876,169.52513015139937,794,499
177,877,172.1873518772016,791,499
178,878,213.77234121836244,754,480
179,879,171.19623528016706,792,499
180,880,171.30909371387347,792,499
181,881,210.71688753302698,759,477
182,882,208.9454146817297,761,477
183,883,205.59731762235418,766,475
184,884,205.5557624754642,766,475
185,885,206.39916575972168,765,475
186,886,205.71425759608994,766,475
187,887,206.99279735963609,765,474
188,888,208.5756154212302,763,474
189,889,208.60669753308468,763,474
190,890,208.66387710272406,763,474
191,891,207.67150276282533,763,476
192,892,207.83610372744965,763,476
193,893,208.26368464759565,763,475
194,894,207.77644378641799,763,476
195,895,207.81294671072487,763,476
196,896,206.82565957463493,763,478
197,897,206.48999665197206,764,477
198,898,204.9644047987929,764,480
199,899,203.4611128831506,765,481
200,900,203.6356839748086,765,481
201,901,204.61592170516724,764,481
202,902,208.18923933744452,758,484
203,903,205.50819130773604,761,484
204,904,204.32055244818972,763,483
205,905,206.96844418813194,760,483
206,906,164.5487116121375,799,500
207,907,152.42663752588402,810,505
208,908,151.40314201176872,813,502
209,909,154.5465419022143,813,496
210,910,142.6994885297099,822,504
211,911,143.55508867804593,825,498
212,912,145.63927383731502,826,493
213,913,143.29316230561503,826,497
214,914,144.79464569740819,825,496
215,915,146.64219061672938,822,497
216,916,144.55959263691307,820,504
217,917,148.1721490865923,817,502
218,918,149.76076442103556,817,499
219,919,150.78825968374545,817,497
220,920,149.3631621253007,815,503
221,921,148.06044823338829,815,505
222,922,146.63983408293421,815,508
223,923,144.7021426019978,815,513
224,924,143.7501427330599,817,510
225,925,162.26329050072187,785,617
226,926,145.70653922864463,816,508
227,927,137.93605337111666,811,620
228,928,128.9370398023343,821,622
229,929,123.97806370724904,827,624
230,930,120.83003754611634,832,628
231,931,119.49166920349371,831,622
232,932,117.58613957119132,836,629
233,933,118.19477105245174,834,626
234,934,121.4918911383076,834,634
235,935,124.29488448033332,832,636
236,936,128.10412153458034,828,636
237,937,131.6469109097065,817,618
238,938,132.27445750368202,819,626
239,939,133.90778122387263,828,511
240,940,131.5261904885239,829,514
241,941,131.16828596864937,827,518
242,942,128.74030234362476,830,518
243,943,126.91579418844324,831,520
244,944,126.12226488775549,833,518
245,945,123.86619806661409,834,521
246,946,123.07321063865679,836,519
247,947,121.21843752689523,837,521
248,948,119.46556168971227,838,523
249,949,116.50479775708801,841,524
250,950,114.1830432346682,846,520
251,951,113.10999993005937,848,519
252,952,111.28048575026928,851,518
253,953,108.68343069383215,854,518
254,954,108.29981139086735,852,522
255,955,104.6129979316224,857,521
256,956,104.07210049019672,859,518
257,957,100.52324362133399,862,520
258,958,96.55332531077319,867,520
259,959,95.19739956618503,865,525
260,960,92.18746088813097,867,528
261,961,102.50890552023276,858,523
262,962,104.61438308079808,855,524
263,963,106.35862338270358,851,527
264,964,110.3079818172118,847,526
265,965,112.52604066991957,845,525
266,966,113.7642304621587,843,526
267,967,115.48953320195437,840,528
268,968,118.1352627090758,837,528
269,969,165.1408338493097,801,496
270,970,166.54994150533787,801,493
271,971,167.47132038047414,800,493
272,972,166.92955328928852,801,492
273,973,167.10194922886714,802,490
274,974,168.79432444088607,802,487
275,975,171.03397127909327,802,483
276,976,168.65599041830322,805,483
277,977,168.98649896092874,806,481
278,978,169.01152259310658,806,481
279,979,169.44663487261184,807,479
280,980,169.5250791587387,810,475
281,981,158.03488174487427,805,503
282,982,166.88178985531357,816,472
283,983,165.37682892292145,818,472
284,984,163.6604203803219,820,471
285,985,154.88987177056262,811,499
286,986,154.373909200693,832,472
287,987,152.37590769756994,835,472
288,988,151.66071167701074,836,472
289,989,151.07470090769422,840,469
290,990,151.16470845056514,842,467
291,991,151.5896903236501,845,464
292,992,152.5227663958237,846,462
293,993,154.90858931833168,846,459
294,994,156.5918883467866,847,456
295,995,159.14247828493197,848,452
296,996,161.82649321075004,845,451
297,997,165.21719939942284,842,449
298,998,149.84869587626042,836,475
299,999,150.33792344969004,834,476
300,1000,149.9952542675324,833,478
301,1001,145.69981244075004,844,473
302,1002,145.35722928289232,848,470
303,1003,144.05355162407793,850,470
304,1004,145.59250631680632,850,468
305,1005,147.86987251889204,850,465
306,1006,149.26897353074426,849,464
307,1007,145.21149146414632,853,466
308,1008,146.46542872940185,853,464
309,1009,152.67270504700022,848,460
310,1010,190.0003859465159,823,432
311,1011,194.93110355471194,819,429
312,1012,165.85945766993154,842,448
313,1013,163.23615277271787,845,449
314,1014,166.24245343873199,845,445
315,1015,168.91128342176012,845,442
316,1016,175.4697602118649,839,438
317,1017,176.82239471559475,838,437
318,1018,177.19731036571696,839,436
319,1019,179.8890092885044,838,434
320,1020,180.03711306179093,840,432
321,1021,183.79366273513457,835,431
322,1022,185.0940425968164,837,428
323,1023,185.98349241628213,837,427
324,1024,187.58415451119342,836,426
325,1025,189.68935747969323,835,424
