,frame_inds,all_dists,blob_points_x,blob_points_y
0,1725,352.91576864159566,211,363
1,1726,352.45498728899895,212,363
2,1727,353.20430645175543,212,363
3,1728,353.7379316972181,211,363
4,1729,352.78777603626804,212,363
5,1730,352.74172803364706,215,363
6,1731,353.27895041100777,215,363
7,1732,351.9876591673284,216,363
8,1733,353.3885853522252,213,363
9,1734,352.76415988277853,216,363
10,1735,352.7577290861827,211,364
11,1736,352.72578410564086,210,364
12,1737,352.8662950751218,211,364
13,1738,352.8843656251237,209,364
14,1739,352.8820326221459,209,364
15,1740,353.08969161041705,215,363
16,1741,352.99975926517686,215,363
17,1742,352.9311815953467,215,363
18,1743,352.86743702995295,215,363
19,1744,352.1537810652598,208,364
20,1745,352.74204545727787,213,363
21,1746,353.0806923532339,213,363
22,1747,353.30210375366994,213,363
23,1748,353.26723457048456,213,363
24,1749,353.17028225227176,213,363
25,1750,353.12434745830086,213,363
26,1751,353.3046768101985,213,363
27,1752,353.20704958347653,213,363
28,1753,353.30339731748006,213,363
29,1754,353.369649071887,213,363
30,1755,353.3964282584204,213,363
31,1756,352.25843989108193,213,363
32,1757,352.46415688947616,213,363
33,1758,352.47836258513786,213,363
34,1759,352.4843839077227,213,363
35,1760,352.33282969500596,213,363
36,1761,352.4933505610919,212,363
37,1762,352.64001401943165,212,363
38,1763,352.62658715130505,212,363
39,1764,352.6519090824851,212,363
40,1765,352.7417102489844,211,363
41,1766,352.30922320766524,213,363
42,1767,352.47696248377474,213,363
43,1768,352.3255702733117,217,363
44,1769,352.66732855778395,214,363
45,1770,352.81871138713126,214,363
46,1771,352.8540900330237,215,363
47,1772,352.6907466279079,216,363
48,1773,352.75854985210333,217,363
49,1774,353.0055658352765,217,363
50,1775,352.52257961544524,217,363
51,1776,352.46667098912883,217,363
52,1777,352.7410952766823,218,363
53,1778,353.8224555990133,214,363
54,1779,352.4158433451992,212,364
55,1780,350.86338251320535,219,364
56,1781,351.07442939253394,217,364
57,1782,350.9457066648328,217,364
58,1783,351.22835837472076,215,364
59,1784,350.24226311718627,216,365
60,1785,350.4830662010675,217,365
61,1786,350.43813628249876,217,365
62,1787,349.3815533914846,216,366
63,1788,349.20633899443936,218,366
64,1789,348.39875845419715,216,367
65,1790,348.17340947434883,218,367
66,1791,347.53697196598307,216,368
67,1792,347.6087457673392,215,368
68,1793,348.03857276582437,217,367
69,1794,348.3939782963527,217,367
70,1795,347.9404685734516,217,367
71,1796,347.84522298146186,217,367
72,1797,346.9754304472189,217,368
73,1798,347.1042092638986,217,368
74,1799,348.0458421202855,214,368
75,1800,347.8014742703086,215,368
76,1801,347.74753595402365,215,368
77,1802,347.6478568001495,215,368
78,1803,348.51972608873166,217,367
79,1804,348.7289466286137,217,367
80,1805,348.6771087259891,217,367
81,1806,348.61368075922326,217,367
82,1807,349.8005696347674,217,366
83,1808,349.135600729472,218,366
84,1809,349.3187779564523,216,366
85,1810,348.9626273323698,218,366
86,1811,349.3479495267921,217,366
87,1812,349.41042145145633,218,366
88,1813,348.76205096881705,218,366
89,1814,348.9974968277071,218,366
90,1815,348.26198961638795,217,367
91,1816,347.7253315173027,218,367
92,1817,347.75767484425813,217,367
93,1818,347.0483118913803,216,368
94,1819,346.6857776731984,216,368
95,1820,346.50961919740746,216,368
96,1821,346.79122132738837,215,368
97,1822,346.74234003513243,216,368
98,1823,346.6643449728436,216,368
99,1824,347.94705316126215,216,368
100,1825,346.85442402902663,217,368
101,1826,346.74913490006776,216,368
102,1827,347.4115925073163,217,368
103,1828,346.9788815437864,216,368
104,1829,346.8711146982125,216,368
105,1830,345.7531249685568,215,369
106,1831,346.4041158476679,217,368
107,1832,346.1263481963251,217,368
108,1833,346.78718106664223,217,368
109,1834,345.8754465844915,217,369
110,1835,345.8266084281645,217,369
111,1836,347.26457986922196,216,368
112,1837,347.8759190267796,216,368
113,1838,347.7259642552146,216,368
114,1839,347.374546342023,216,368
115,1840,347.1563331529657,216,368
116,1841,346.638841060057,216,368
117,1842,346.4962820754521,218,368
118,1843,346.42752425523287,218,368
119,1844,346.5314526776312,219,368
120,1845,347.0296909022457,217,368
121,1846,346.934009036824,219,368
122,1847,347.30113632139745,217,368
123,1848,347.1743616490868,218,368
124,1849,347.1039077578608,218,368
125,1850,346.9285630197807,217,368
