,frame_inds,all_dists,blob_points_x,blob_points_y
0,2200,205.14922861507418,599,562
1,2201,205.1371681425378,599,562
2,2202,205.14145444797938,599,562
3,2203,205.17047403294808,599,562
4,2204,203.03257767644263,596,560
5,2205,202.8624154921483,590,560
6,2206,202.88962879011615,588,560
7,2207,202.9669916979536,596,560
8,2208,203.00804412286143,588,560
9,2209,202.89171586028942,588,560
10,2210,202.88060406986702,596,560
11,2211,202.8385078844337,596,560
12,2212,202.8261758277154,596,560
13,2213,202.84458962589068,596,560
14,2214,202.87984776132902,596,560
15,2215,202.90356646423234,596,560
16,2216,202.91309843652962,596,560
17,2217,202.9033712759902,596,560
18,2218,202.87115952323683,596,560
19,2219,203.05432402895013,599,560
20,2220,203.08450636366788,589,560
21,2221,205.34734044448885,599,562
22,2222,205.14204702745943,599,562
23,2223,203.2144938118111,599,560
24,2224,203.29967005556375,599,560
25,2225,203.2211789483686,599,560
26,2226,203.17208237541348,599,560
27,2227,203.15824181646468,597,560
28,2228,203.07958156994923,597,560
29,2229,203.09684870432085,597,560
30,2230,203.10595387849224,597,560
31,2231,203.10761780579944,597,560
32,2232,204.30483076845553,598,561
33,2233,204.25152900778244,598,561
34,2234,204.17753862930945,598,561
35,2235,204.2503811020697,598,561
36,2236,204.28405551048357,598,561
37,2237,205.10567400035725,593,562
38,2238,204.22170411279637,598,561
39,2239,204.07292525706282,593,561
40,2240,204.1014161784113,593,561
41,2241,204.0834168891207,593,561
42,2242,204.34839368860762,600,561
43,2243,204.32860582219786,600,561
44,2244,204.2115545032649,600,561
45,2245,204.20659045691164,600,561
46,2246,204.15446628010375,600,561
47,2247,204.18656421078,600,561
48,2248,204.28586326821576,600,561
49,2249,204.23375485059182,600,561
50,2250,204.29267889211164,600,561
51,2251,204.14990505853262,600,561
52,2252,204.0423684130608,600,561
53,2253,204.07721481020965,600,561
54,2254,204.1362161988212,600,561
55,2255,204.156662890783,600,561
56,2256,203.97511146522152,599,561
57,2257,203.83981361870133,599,561
58,2258,203.83313390899022,599,561
59,2259,203.89721565209538,599,561
60,2260,203.91138380235304,599,561
61,2261,203.99203316322502,600,561
62,2262,203.9819964637006,600,561
63,2263,202.9263823933889,600,560
64,2264,202.8920248197876,600,560
65,2265,202.84578726967746,600,560
66,2266,202.8299188312422,600,560
67,2267,202.67884078029263,598,560
68,2268,203.46116799354607,598,560
69,2269,203.3749720666495,598,560
70,2270,203.36324307890987,598,560
71,2271,203.02682389407005,593,560
72,2272,203.0622237986211,593,560
73,2273,203.0816228820909,593,560
74,2274,203.00463721836599,593,560
75,2275,203.0351582998117,593,560
76,2276,203.02233705411572,593,560
77,2277,203.01669960791577,593,560
78,2278,203.0082666150248,593,560
79,2279,203.03959972615164,593,560
80,2280,202.93768913585805,593,560
81,2281,203.01100247357627,593,560
82,2282,203.03269330047195,593,560
83,2283,204.1017637243602,593,561
84,2284,203.28360500706094,598,560
85,2285,203.19531713945005,598,560
86,2286,203.25056426683045,598,560
87,2287,204.05303815301946,593,561
88,2288,203.93343401948158,593,561
89,2289,203.9779139920083,593,561
90,2290,203.9784484675955,592,561
91,2291,204.00705691005084,592,561
92,2292,203.38864054418394,600,560
93,2293,203.37152590995473,600,560
94,2294,204.05925606796998,599,561
95,2295,203.97240887002525,599,561
96,2296,203.95455081563762,599,561
97,2297,203.91979438252318,599,561
98,2298,203.88676444759417,599,561
99,2299,203.82183818035202,599,561
100,2300,203.77090256424344,599,561
101,2301,203.55497523021,593,561
102,2302,203.68822595252632,593,561
103,2303,203.6930202944708,593,561
104,2304,202.16113578626596,601,559
105,2305,203.0736603631883,599,560
106,2306,203.90315940817626,596,561
107,2307,201.97421955466066,599,559
108,2308,201.70664713699225,588,559
109,2309,202.5909569731886,589,560
110,2310,201.61959867892202,588,559
111,2311,201.65877409306628,589,559
112,2312,201.6663869414981,589,559
113,2313,201.64546024598974,589,559
114,2314,201.6539199902467,589,559
115,2315,200.90800653833796,598,558
116,2316,200.76769209528766,589,558
117,2317,200.80652060382747,589,558
118,2318,200.6230368509328,589,558
119,2319,200.46901390088232,589,558
120,2320,200.5900668817434,589,558
121,2321,200.6142660767921,589,558
122,2322,200.60673789008314,589,558
123,2323,200.58400965643568,589,558
124,2324,200.54013577898365,589,558
125,2325,201.48286077983173,589,559
126,2326,201.56226252032675,589,559
127,2327,201.54273191151242,588,559
128,2328,202.7687921748956,589,560
129,2329,202.57892811232043,589,560
130,2330,202.68287601708155,589,560
131,2331,202.67415358945874,589,560
132,2332,202.68323510662242,589,560
133,2333,202.65964538912542,589,560
134,2334,202.63060971752225,589,560
135,2335,202.5609159104676,589,560
136,2336,202.57466112935865,589,560
137,2337,202.51769763125833,589,560
138,2338,202.4850327371941,589,560
139,2339,202.51105509653428,589,560
140,2340,203.04883248837575,588,560
141,2341,202.9424564007087,589,560
142,2342,202.81039830534675,589,560
143,2343,202.7447892631072,589,560
144,2344,202.57735564969025,589,560
145,2345,202.58973716971863,589,560
146,2346,202.523019330147,589,560
147,2347,202.570023038747,589,560
148,2348,202.5460775319094,589,560
149,2349,202.53682942134236,589,560
150,2350,202.5623939943805,589,560
151,2351,202.57747051991709,589,560
152,2352,202.1709421602079,589,560
153,2353,202.1466644963634,589,560
154,2354,202.19740117886312,589,560
155,2355,202.19002930977715,589,560
156,2356,202.25973987121486,589,560
157,2357,202.23558729839104,589,560
158,2358,202.2742132188167,589,560
159,2359,202.28545183149302,589,560
160,2360,202.30242298024066,589,560
161,2361,202.3152717542467,589,560
162,2362,202.39967282506083,589,560
163,2363,202.276569794987,589,560
164,2364,202.90012206849153,596,560
165,2365,203.06601343156356,600,560
166,2366,203.09576020535985,600,560
167,2367,202.96811481528596,600,560
168,2368,202.9529425911477,600,560
169,2369,202.86099404797963,600,560
170,2370,202.93522099022812,600,560
171,2371,202.88423361629046,600,560
172,2372,202.86391979510967,600,560
173,2373,202.94970318140147,599,560
174,2374,202.99630505628477,600,560
175,2375,203.0314943780158,600,560
176,2376,202.61419477763184,589,560
177,2377,202.57783196098364,589,560
178,2378,202.61800959870587,589,560
179,2379,202.62030298855112,589,560
180,2380,202.6098086773693,589,560
181,2381,202.59854781207383,589,560
182,2382,202.9623717309827,600,560
183,2383,202.92237087332217,600,560
184,2384,202.9028838470591,600,560
185,2385,202.99669787468446,600,560
186,2386,203.03443223419325,600,560
187,2387,203.02126282064773,600,560
188,2388,203.0719697064673,600,560
189,2389,203.06279912509325,600,560
190,2390,203.00399508863626,600,560
191,2391,202.97397753289735,600,560
192,2392,202.94503289107564,600,560
193,2393,203.02842065065,600,560
194,2394,203.00726598512284,600,560
195,2395,202.99257771542185,600,560
196,2396,202.9655236043013,600,560
197,2397,202.8960059200532,600,560
198,2398,202.92741146031113,600,560
199,2399,202.8427874553104,600,560
200,2400,203.07750062495415,600,560
201,2401,202.96525580616495,600,560
202,2402,202.92082234089256,600,560
203,2403,202.90474513873156,600,560
204,2404,202.87640650392245,600,560
205,2405,202.94957533288232,600,560
206,2406,203.02818607228068,600,560
207,2407,202.92655955546508,600,560
208,2408,202.90712928666827,600,560
209,2409,202.95236780388592,600,560
210,2410,202.98838404428315,600,560
211,2411,203.03594492013767,600,560
212,2412,202.9115333614128,589,560
213,2413,202.90483375676095,589,560
214,2414,202.8602180608238,589,560
215,2415,202.71517545293634,589,560
216,2416,202.6487110793396,589,560
217,2417,202.7291538667255,589,560
218,2418,202.72203593350574,589,560
219,2419,202.71090499068183,589,560
220,2420,202.67813908653025,589,560
221,2421,202.60030346572148,589,560
222,2422,202.5964034097023,589,560
223,2423,202.5955213091887,589,560
224,2424,202.83384423585758,600,560
225,2425,202.73302383535795,600,560
226,2426,202.70093161058887,600,560
227,2427,202.6565597815635,600,560
228,2428,202.64545613223285,600,560
229,2429,202.6029938768442,600,560
230,2430,202.4940889918405,600,560
231,2431,202.56432515669468,600,560
232,2432,202.63082990075583,600,560
233,2433,202.6505507092956,600,560
234,2434,202.6027980180658,600,560
235,2435,202.61389748606953,600,560
236,2436,203.01613529974938,589,560
237,2437,202.96641363668772,589,560
238,2438,202.78235000135123,589,560
239,2439,202.76324959502304,589,560
240,2440,202.59253571273803,589,560
241,2441,202.52615716489737,589,560
242,2442,202.4908534882985,589,560
243,2443,202.46782459724685,589,560
244,2444,202.5189284087763,589,560
245,2445,202.50660573522453,589,560
246,2446,202.4897725752345,589,560
247,2447,202.49392195965132,589,560
248,2448,202.30571559242236,589,560
249,2449,202.33949001335796,589,560
250,2450,202.6862325319287,600,560
251,2451,202.7180051237318,600,560
252,2452,202.6825627437893,600,560
253,2453,202.6597138085483,600,560
254,2454,202.71003671349055,600,560
255,2455,202.70218263472069,600,560
256,2456,202.65589660888168,600,560
257,2457,202.72940048576413,600,560
258,2458,202.69556788180134,600,560
259,2459,202.6867466666143,600,560
260,2460,203.12450859238714,600,560
261,2461,202.94399614728084,600,560
262,2462,202.8414669752457,600,560
263,2463,202.8191667244718,600,560
264,2464,202.7792370224414,600,560
265,2465,202.7290573079069,600,560
266,2466,202.71315708751538,600,560
267,2467,202.6871319817501,600,560
268,2468,202.65766432365314,600,560
269,2469,202.76495527555682,600,560
270,2470,202.87160200322714,600,560
271,2471,202.82428252111686,600,560
272,2472,202.97135693552204,600,560
273,2473,202.93161660611142,600,560
274,2474,202.8939585748704,600,560
275,2475,202.92259326908334,600,560
276,2476,202.98191332211735,600,560
277,2477,202.93677313035343,600,560
278,2478,202.92839335458498,600,560
279,2479,202.83296111606802,600,560
280,2480,202.86251794281307,600,560
281,2481,202.77808515231072,600,560
282,2482,202.82660950720177,600,560
283,2483,202.8429978006695,600,560
284,2484,203.13766142046168,600,560
285,2485,203.09511886026928,600,560
286,2486,202.87184247810382,600,560
287,2487,202.84080767606812,600,560
288,2488,202.83184175352997,600,560
289,2489,202.83572641085914,600,560
290,2490,202.80350825270065,600,560
291,2491,202.8809791031173,600,560
292,2492,202.79579124328998,600,560
293,2493,202.83925447881248,600,560
294,2494,202.81475275964058,600,560
295,2495,202.76702931350044,600,560
296,2496,203.1234586113804,600,560
297,2497,203.1405539116032,600,560
298,2498,203.10078814713245,600,560
299,2499,202.7528085482675,589,560
300,2500,202.80286760882865,589,560
301,2501,203.0844254416054,600,560
302,2502,203.1172166062305,600,560
303,2503,203.13703484730047,600,560
304,2504,203.15675756653724,600,560
305,2505,203.21402505502718,600,560
306,2506,203.21834062785726,600,560
307,2507,203.2837103997718,600,560
308,2508,202.98551403072867,600,560
309,2509,202.96724488054164,599,560
310,2510,202.96886509840854,599,560
311,2511,202.98279351223695,599,560
312,2512,202.9925592791202,599,560
313,2513,202.91334458661703,599,560
314,2514,202.90903799911197,599,560
315,2515,202.9266570554665,599,560
316,2516,202.61366473864751,589,560
317,2517,202.62420241427375,589,560
318,2518,202.54270866283946,589,560
319,2519,202.87426268290596,600,560
320,2520,203.12991905213914,600,560
321,2521,203.01664481553343,600,560
322,2522,203.01967529505683,600,560
323,2523,202.98785343916066,600,560
324,2524,202.90488830192953,600,560
