,time
0,0.0
1,0.04000399999999993
2,0.08000699999999994
3,0.12001099999999998
4,0.160014
5,0.20001799999999992
6,0.24002099999999993
7,0.28002399999999994
8,0.320028
9,0.360031
10,0.4000349999999999
11,0.44003799999999993
12,0.4800420000000001
13,0.520046
14,0.560049
15,0.600052
16,0.640056
17,0.6800599999999999
18,0.7200629999999999
19,0.7600659999999999
20,0.8000689999999999
21,0.8400729999999998
22,0.880077
23,0.92008
24,0.9600839999999999
25,1.000087
26,1.0400909999999999
27,1.0800939999999999
28,1.120098
29,1.160101
30,1.200104
31,1.240108
32,1.280111
33,1.320115
34,1.360118
35,1.400122
36,1.440125
37,1.4801289999999998
38,1.5201310000000001
39,1.5601349999999998
40,1.6001379999999998
41,1.6401430000000001
42,1.6801460000000001
43,1.7201499999999998
44,1.7601529999999999
45,1.8001559999999999
46,1.84016
47,1.880163
48,1.9201669999999997
49,1.9601700000000002
50,2.000174
51,2.040177
52,2.080181
53,2.120184
54,2.160187
55,2.200191
56,2.240194
57,2.280198
58,2.320202
59,2.360205
60,2.400209
61,2.440212
62,2.480215
63,2.520219
64,2.560223
65,2.600225
66,2.640229
67,2.680232
68,2.720236
69,2.760239
70,2.800243
71,2.840247
72,2.8802499999999998
73,2.920253
74,2.960257
75,3.000261
76,3.040264
77,3.080268
78,3.120271
79,3.160275
80,3.200278
81,3.240282
82,3.280284
83,3.320288
84,3.360292
85,3.400295
86,3.440299
87,3.4803019999999996
88,3.520305
89,3.5603089999999997
90,3.6003130000000003
91,3.640316
92,3.6803199999999996
93,3.720323
94,3.7603259999999996
95,3.800329
96,3.8403329999999998
97,3.8803370000000004
98,3.920341
99,3.9603439999999996
100,4.000347
101,4.040350999999999
102,4.080354
103,4.1203579999999995
104,4.160361
105,4.200365
106,4.240368
107,4.280372
108,4.320375
109,4.360379
110,4.4003820000000005
111,4.440386
112,4.480389000000001
113,4.520391999999999
114,4.560396000000001
115,4.6004000000000005
116,4.640402999999999
117,4.680406
118,4.720409999999999
119,4.760413
120,4.800416
121,4.84042
122,4.880423
123,4.920427
124,4.960430000000001
125,5.000432999999999
126,5.040438
127,5.080441
128,5.120445
129,5.160448000000001
130,5.200450999999999
131,5.240455000000001
132,5.280457999999999
133,5.320461
134,5.360465
135,5.400468999999999
136,5.440472
137,5.4804759999999995
138,5.520479
139,5.560483
140,5.600486
141,5.6404890000000005
142,5.680493
143,5.720497
144,5.7605
145,5.800504
146,5.840507000000001
147,5.880509999999999
148,5.920513
149,5.960518
150,6.000520999999999
151,6.040525000000001
152,6.080527999999999
153,6.120531
154,6.160534999999999
155,6.200538
156,6.240541
157,6.280545
158,6.320549
159,6.360552
160,6.400556
161,6.440559
162,6.480562000000001
163,6.5205649999999995
164,6.560568999999999
165,6.600572
166,6.640577
167,6.680579999999999
168,6.7205829999999995
169,6.760586999999999
170,6.80059
171,6.840593999999999
172,6.880597
173,6.9206
