,time
0,0.0
1,0.04000300000000001
2,0.080007
3,0.12000899999999998
4,0.160014
5,0.200017
6,0.24002
7,0.280024
8,0.320027
9,0.36002999999999996
10,0.40003399999999995
11,0.44003699999999996
12,0.480042
13,0.520044
14,0.5600479999999999
15,0.6000509999999999
16,0.640055
17,0.680059
18,0.720062
19,0.760065
20,0.8000689999999999
21,0.8400730000000001
22,0.8800749999999999
23,0.92008
24,0.960083
25,1.000087
26,1.04009
27,1.080093
28,1.120096
29,1.1601
30,1.200104
31,1.240107
32,1.280111
33,1.320114
34,1.3601169999999998
35,1.4001199999999998
36,1.440124
37,1.4801279999999999
38,1.520131
39,1.560134
40,1.6001379999999998
41,1.640142
42,1.680145
43,1.720149
44,1.760152
45,1.8001559999999999
46,1.8401589999999999
47,1.880163
48,1.920166
49,1.960169
50,2.0001729999999998
51,2.040177
52,2.080179
53,2.120184
54,2.160187
55,2.200191
56,2.240194
57,2.280198
58,2.320201
59,2.360204
60,2.4002079999999997
61,2.440211
62,2.4802139999999997
63,2.520218
64,2.560221
65,2.600225
66,2.640228
67,2.6802319999999997
68,2.720236
69,2.760239
70,2.800243
71,2.840246
72,2.880249
73,2.9202529999999998
74,2.9602559999999998
75,3.00026
76,3.040263
77,3.080267
78,3.12027
79,3.160274
80,3.200277
81,3.24028
82,3.280284
83,3.320288
84,3.3602909999999997
85,3.400294
86,3.440298
87,3.480302
88,3.520305
89,3.5603089999999997
90,3.600312
91,3.640316
92,3.680319
93,3.720322
94,3.760325
95,3.8003299999999998
96,3.8403329999999998
97,3.8803360000000002
98,3.920339
99,3.9603429999999995
100,4.0003470000000005
101,4.04035
102,4.080354000000001
103,4.120357
104,4.160361
105,4.200364
106,4.240367
107,4.280371000000001
108,4.320375
109,4.360378000000001
110,4.400381
111,4.440384
112,4.4803880000000005
113,4.520391
114,4.560395000000001
115,4.600399
116,4.640402
117,4.6804060000000005
118,4.720408000000001
119,4.7604120000000005
120,4.800416
121,4.84042
122,4.880423
123,4.920427
124,4.960430000000001
125,5.000434
126,5.040437000000001
127,5.08044
128,5.120444
129,5.1604470000000005
130,5.20045
131,5.240454000000001
132,5.280457
133,5.320460000000001
134,5.360464
135,5.400468
136,5.440472000000001
137,5.480475
138,5.520479
139,5.560481
140,5.600485000000001
141,5.6404890000000005
142,5.680492
143,5.7204950000000006
144,5.7605
145,5.800502000000001
146,5.840506
147,5.880509
148,5.920513000000001
149,5.960517
150,6.000520000000001
151,6.0405240000000004
152,6.080527
153,6.1205300000000005
154,6.160534
155,6.200538000000001
156,6.24054
157,6.280544000000001
158,6.3205480000000005
159,6.360551
160,6.4005540000000005
161,6.440558
162,6.480562000000001
163,6.520565
164,6.560569
165,6.6005720000000005
166,6.640575
167,6.680578000000001
168,6.720583
169,6.760586
170,6.800589
171,6.840593
172,6.880596000000001
173,6.920599
174,6.960604
175,7.000606
176,7.04061
177,7.080614000000001
178,7.120617
179,7.160620000000001
180,7.200624
181,7.240628
182,7.2806310000000005
183,7.320634
184,7.360638000000001
185,7.400641
186,7.440645
187,7.480648
188,7.520651000000001
189,7.560655000000001
190,7.600659
191,7.640662000000001
192,7.680666
193,7.720669
194,7.760673000000001
195,7.800676
196,7.840680000000001
197,7.880683000000001
198,7.920687000000001
199,7.96069
200,8.000693
201,8.040697
202,8.080701000000001
203,8.120703
204,8.160708
205,8.200711
206,8.240714
207,8.280718
208,8.320721
209,8.360725
210,8.400729
211,8.440731
212,8.480735000000001
213,8.520738
214,8.560742000000001
215,8.600745
216,8.640749
217,8.680753000000001
218,8.720756
219,8.76076
220,8.800762
221,8.840767
222,8.880769
223,8.920773
224,8.960777
225,9.00078
226,9.040783000000001
227,9.080787
228,9.120791
229,9.160794000000001
230,9.200798
231,9.240801000000001
232,9.280804
233,9.320808
234,9.360812000000001
235,9.400814
236,9.440819000000001
237,9.480822
238,9.520825
239,9.560829
240,9.600832
241,9.640836
242,9.68084
243,9.720843
244,9.760847
245,9.80085
246,9.840854
247,9.880856
248,9.920860000000001
249,9.960864
250,10.000867000000001
251,10.04087
252,10.080874
253,10.120877
254,10.160881
255,10.200885
256,10.240888
257,10.280892
258,10.320895
259,10.360899
260,10.400902
261,10.440906
262,10.480909
263,10.520912000000001
264,10.560916
265,10.600919000000001
266,10.640922
267,10.680926000000001
268,10.720929
269,10.760933
270,10.800936
271,10.84094
272,10.880943
273,10.920947
274,10.96095
275,11.000954
276,11.040957
277,11.080961
278,11.120964
279,11.160968
280,11.200971000000001
281,11.240975
282,11.280978000000001
283,11.320981
284,11.360985000000001
285,11.400989000000001
286,11.440992
287,11.480995
288,11.520999
289,11.561002
290,11.601006
291,11.64101
292,11.681013
293,11.721017
294,11.761019000000001
295,11.801023
296,11.841026000000001
297,11.88103
298,11.921033
299,11.961037000000001
300,12.00104
301,12.041044000000001
302,12.081048000000001
303,12.121051
304,12.161054
305,12.201058
306,12.241061
307,12.281064
308,12.321068
309,12.361072
310,12.401076
311,12.441079
312,12.481082
313,12.521086
314,12.561089
315,12.601093
316,12.641096000000001
317,12.681099
318,12.721103000000001
319,12.761107
320,12.80111
321,12.841113
322,12.881117
323,12.921121000000001
324,12.961124
325,13.001128
326,13.041131
327,13.081134
328,13.121138
329,13.161142
330,13.201144000000001
331,13.241148
332,13.281152
333,13.321155000000001
334,13.361159
335,13.401162000000001
336,13.441166
337,13.481169
338,13.521173000000001
339,13.561176
340,13.601179
341,13.641182
342,13.681187
343,13.72119
344,13.761193
345,13.801196000000001
346,13.841201
347,13.881204
348,13.921207
349,13.961210000000001
350,14.001213
