,time
0,0.0
1,0.04000400000000004
2,0.08000700000000005
3,0.12001000000000006
4,0.160014
5,0.20001800000000003
6,0.24002100000000004
7,0.28002400000000005
8,0.32002700000000006
9,0.360032
10,0.4000340000000001
11,0.44003800000000004
12,0.48004199999999997
13,0.520045
14,0.5600490000000001
15,0.6000519999999999
16,0.6400560000000001
17,0.6800590000000001
18,0.7200620000000001
19,0.760066
20,0.800069
21,0.840073
22,0.8800770000000001
23,0.9200800000000001
24,0.960084
25,1.000086
26,1.0400900000000002
27,1.0800930000000002
28,1.120097
29,1.160101
30,1.200104
31,1.2401079999999998
32,1.2801109999999998
33,1.320115
34,1.360118
35,1.400121
36,1.440125
37,1.480128
38,1.5201319999999998
39,1.560136
40,1.600139
41,1.640142
42,1.6801459999999997
43,1.7201490000000002
44,1.7601529999999999
45,1.8001559999999999
46,1.84016
47,1.880163
48,1.9201670000000002
49,1.9601699999999997
50,2.000173
51,2.040177
52,2.08018
53,2.120184
54,2.1601879999999998
55,2.20019
56,2.240194
57,2.280198
58,2.320202
59,2.360205
60,2.400208
61,2.440211
62,2.480215
63,2.520219
64,2.560222
65,2.600226
66,2.6402289999999997
67,2.680232
68,2.720236
69,2.760239
70,2.800243
71,2.8402469999999997
72,2.880249
73,2.920254
74,2.960257
75,3.00026
76,3.040263
77,3.080267
78,3.1202699999999997
79,3.160274
80,3.200277
81,3.24028
82,3.280284
83,3.3202879999999997
84,3.360291
85,3.400295
86,3.4402989999999996
87,3.480301
88,3.5203049999999996
89,3.560309
90,3.6003119999999997
91,3.640315
92,3.680319
93,3.7203220000000004
94,3.760326
95,3.8003289999999996
96,3.840333
97,3.880336
98,3.9203400000000004
99,3.960344
100,4.000347
101,4.04035
102,4.080354
103,4.120358
104,4.160361
105,4.200365
106,4.240368
107,4.280371
108,4.320375
109,4.360378
110,4.400381
111,4.440386
112,4.480389
113,4.520392
114,4.560395
115,4.600398
116,4.640402
117,4.680406
118,4.720409
119,4.760412
120,4.800416
121,4.840419
122,4.880424
123,4.920427
124,4.96043
125,5.000433
126,5.040437
127,5.0804409999999995
128,5.120444
129,5.160447
130,5.200451
131,5.240454
132,5.280458
133,5.320462
134,5.360465
135,5.400469
136,5.440472
137,5.480476
138,5.520479
139,5.560482
140,5.600485
141,5.640489
142,5.680492
143,5.720496
144,5.7604999999999995
145,5.800503
146,5.840507
147,5.88051
148,5.920514
149,5.960517
150,6.00052
151,6.040524
152,6.080527
153,6.120531
154,6.160535
155,6.200538
156,6.2405409999999994
157,6.280545
158,6.320548
159,6.360551
160,6.400555
161,6.440559
162,6.480562
163,6.520565
164,6.560569
165,6.600572
166,6.640576
167,6.680579
168,6.7205829999999995
169,6.760586
170,6.80059
171,6.840594
172,6.880597
173,6.920601
174,6.960604
175,7.000607
176,7.040611
177,7.080614
178,7.120617
179,7.160621
180,7.200624
181,7.240628
182,7.280631
183,7.320634
184,7.360638000000001
185,7.400642
186,7.440646
187,7.4806490000000005
188,7.520653
189,7.560656000000001
190,7.600658999999999
191,7.640662
192,7.6806659999999995
193,7.720669
194,7.760673
195,7.800676999999999
196,7.84068
197,7.880684
198,7.920687
199,7.960691
200,8.000694000000001
201,8.040698
202,8.080701000000001
203,8.120705000000001
204,8.160708000000001
205,8.200711
206,8.240715000000002
207,8.280718
208,8.320722
209,8.360725
210,8.400729
211,8.440732
212,8.480735000000001
213,8.520738000000001
214,8.560743
215,8.600746000000001
216,8.64075
217,8.680753000000001
218,8.720757
219,8.760760000000001
220,8.800763000000002
221,8.840767000000001
222,8.880771000000001
223,8.920773
224,8.960777
225,9.000781
226,9.040785000000001
227,9.080787
228,9.120791
229,9.160794000000001
230,9.200798
231,9.240801000000001
232,9.280805
233,9.320808000000001
234,9.360812000000001
235,9.400816
236,9.440819000000001
237,9.480823000000001
238,9.520826000000001
239,9.560829
240,9.600833000000002
241,9.640837000000001
242,9.680840000000002
243,9.720843
244,9.760847
245,9.80085
246,9.840853000000001
247,9.880857
248,9.920860000000001
249,9.960864
250,10.000868
251,10.040871000000001
252,10.080874000000001
253,10.120877
254,10.160882
255,10.200885000000001
256,10.240889000000001
257,10.280892000000001
258,10.320895
259,10.360899000000002
260,10.400902
261,10.440906
262,10.480909
263,10.520912000000001
264,10.560915000000001
265,10.60092
266,10.640923
267,10.680927
268,10.720930000000001
269,10.760933000000001
270,10.800937000000001
271,10.840941
272,10.880944000000001
273,10.920947000000002
274,10.960951000000001
275,11.000954
276,11.040958000000002
277,11.080961
278,11.120964
279,11.160968
280,11.200971000000001
281,11.240975
282,11.280978000000001
283,11.320982
284,11.360985000000001
285,11.400988000000002
286,11.440993
287,11.480996000000001
288,11.521
289,11.561003000000001
290,11.601006000000002
291,11.641010000000001
292,11.681014000000001
293,11.721017000000002
294,11.76102
295,11.801024000000002
296,11.841027
297,11.881031
298,11.921034
299,11.961037000000001
300,12.001041
301,12.041045
302,12.081048000000001
303,12.121052
304,12.161055000000001
305,12.201059
306,12.241062000000001
307,12.281065000000002
308,12.321068
309,12.361072
310,12.401076000000002
311,12.441079
312,12.481083000000002
313,12.521086
314,12.56109
315,12.601092000000001
316,12.641097
317,12.681099000000001
318,12.721104
319,12.761107
320,12.801111
321,12.841113
322,12.881118
323,12.921121000000001
324,12.961124000000002
325,13.001127
326,13.041132000000001
327,13.081134
328,13.121139000000001
329,13.161142000000002
330,13.201145
331,13.241148
332,13.281152
333,13.321156
334,13.361158000000001
335,13.401163
336,13.441166
337,13.48117
338,13.521173000000001
339,13.561176000000001
340,13.601180000000001
341,13.641183000000002
342,13.681187000000001
343,13.72119
344,13.761193
345,13.801197
346,13.8412
347,13.881204
348,13.921208
349,13.961211
350,14.001214000000001
351,14.041218
352,14.081221000000001
353,14.121225
354,14.161229
355,14.201232000000001
356,14.241235000000001
357,14.281239000000001
358,14.321242000000002
359,14.361246000000001
360,14.401249
361,14.441253000000001
362,14.481256
363,14.521259
364,14.561263
365,14.601267
366,14.64127
367,14.681274
368,14.721276000000001
369,14.761280000000001
370,14.801283000000002
371,14.841287000000001
372,14.881291000000001
373,14.921294000000001
374,14.961298000000001
375,15.001301000000002
376,15.041304
