,time
0,0.0
1,0.04000200000000001
2,0.080006
3,0.12000999999999998
4,0.160013
5,0.200016
6,0.240021
7,0.28002399999999994
8,0.320028
9,0.360031
10,0.400034
11,0.44003799999999993
12,0.48004099999999994
13,0.520044
14,0.560048
15,0.6000519999999999
16,0.6400549999999999
17,0.6800579999999999
18,0.720062
19,0.7600659999999999
20,0.8000689999999999
21,0.8400719999999999
22,0.8800749999999999
23,0.9200789999999999
24,0.960083
25,1.000086
26,1.04009
27,1.080093
28,1.120097
29,1.1601
30,1.200104
31,1.240107
32,1.28011
33,1.320114
34,1.360118
35,1.400121
36,1.440124
37,1.480128
38,1.520131
39,1.5601349999999998
40,1.600139
41,1.640142
42,1.680146
43,1.720149
44,1.7601529999999999
45,1.8001559999999999
46,1.8401589999999999
47,1.880163
48,1.920166
49,1.960169
50,2.000173
51,2.040177
52,2.080179
53,2.120183
54,2.160186
55,2.200191
56,2.240194
57,2.280198
58,2.3202
59,2.360204
60,2.400208
61,2.4402109999999997
62,2.480215
63,2.520218
64,2.560222
65,2.600225
66,2.6402289999999997
67,2.680232
68,2.7202349999999997
69,2.760239
70,2.800243
71,2.840246
72,2.880249
73,2.9202529999999998
74,2.960257
75,3.00026
76,3.040264
77,3.080266
78,3.12027
79,3.160273
80,3.200277
81,3.240281
82,3.280284
83,3.3202879999999997
84,3.360291
85,3.400295
86,3.440298
87,3.480301
88,3.520305
89,3.560309
90,3.6003119999999997
91,3.640316
92,3.680319
93,3.720322
94,3.760326
95,3.8003289999999996
96,3.840332
97,3.880336
98,3.9203390000000002
99,3.960343
100,4.000347
101,4.04035
102,4.080354
103,4.120357
104,4.16036
105,4.200364
106,4.240368
107,4.280371
108,4.320375
109,4.360378
110,4.400381
111,4.440385
112,4.480388
113,4.520391
114,4.560395
115,4.6003989999999995
116,4.640402
117,4.680405
118,4.720409
119,4.760412
120,4.800416
121,4.840419
122,4.880422
123,4.920426
124,4.96043
125,5.000434
126,5.040436
127,5.08044
128,5.120444
129,5.160447
130,5.200451
131,5.240454
132,5.280458
133,5.320461
