,time
0,0.0
1,0.040003999999999984
2,0.08000699999999997
3,0.12000999999999998
4,0.16001400000000002
5,0.200018
6,0.240021
7,0.28002399999999994
8,0.320028
9,0.360031
10,0.4000349999999999
11,0.44003899999999996
12,0.48004099999999994
13,0.520045
14,0.5600489999999999
15,0.6000519999999999
16,0.640056
17,0.680059
18,0.7200629999999999
19,0.7600659999999999
20,0.80007
21,0.840073
22,0.8800769999999999
23,0.9200799999999999
24,0.960084
25,1.0000870000000002
26,1.040091
27,1.080094
28,1.1200970000000001
29,1.160101
30,1.200104
31,1.240108
32,1.280111
33,1.3201140000000002
34,1.360119
35,1.400121
36,1.440125
37,1.480128
38,1.520132
39,1.560136
40,1.600139
41,1.6401430000000001
42,1.6801460000000001
43,1.7201490000000002
44,1.760153
45,1.800157
46,1.8401589999999999
47,1.880163
48,1.920166
49,1.9601700000000002
50,2.000173
51,2.040177
52,2.080181
53,2.120184
54,2.160187
55,2.2001910000000002
56,2.240195
57,2.280198
58,2.320202
59,2.360205
60,2.400208
61,2.440212
62,2.480216
63,2.520219
64,2.560222
65,2.600225
66,2.640229
67,2.680232
68,2.720236
69,2.76024
70,2.800243
71,2.840247
72,2.88025
73,2.920254
74,2.960256
75,3.000261
76,3.040264
77,3.080267
78,3.1202710000000002
79,3.1602740000000002
80,3.200278
81,3.240281
82,3.280284
83,3.320288
84,3.360291
85,3.400295
86,3.440299
87,3.480302
88,3.520305
89,3.560309
90,3.600312
91,3.640316
92,3.680319
93,3.720323
94,3.760326
95,3.8003290000000005
96,3.8403340000000004
97,3.880337
98,3.9203400000000004
99,3.960343
100,4.000347
101,4.04035
102,4.080354
103,4.120358
104,4.160361
105,4.200364
106,4.240368
107,4.280371
108,4.320374
109,4.360378
110,4.4003820000000005
111,4.440385
112,4.480389
113,4.520392
114,4.560396
115,4.600399
116,4.640403
117,4.680406
118,4.720409
119,4.760413
120,4.800417
121,4.84042
122,4.880423
123,4.920427
124,4.96043
125,5.000434
126,5.040437
127,5.080441
128,5.120444
129,5.160448
130,5.200451
131,5.240455
132,5.280458
133,5.320462
134,5.360465
135,5.400469
136,5.440472
137,5.480476
138,5.520479
139,5.560482
140,5.600486
141,5.6404890000000005
142,5.680493
143,5.720496
144,5.7605
145,5.800503
146,5.840507
147,5.880511
148,5.920514
149,5.960517
150,6.000521
151,6.0405240000000004
152,6.080528
153,6.120531
154,6.160534
155,6.200537
156,6.240541
157,6.280545
158,6.320549
159,6.360552
160,6.400555
161,6.440559
162,6.480562
163,6.5205660000000005
164,6.560569
165,6.600572
166,6.640576
167,6.68058
168,6.720583
169,6.760586
170,6.80059
171,6.840593
172,6.880597
173,6.9206010000000004
174,6.960604
175,7.0006070000000005
176,7.040611
177,7.080615
178,7.120617
179,7.160621
180,7.2006250000000005
181,7.240628
182,7.280632
183,7.320635
184,7.360638
185,7.400642
186,7.440645
187,7.480649
188,7.520652
189,7.560656
190,7.60066
191,7.640663
192,7.680667
193,7.72067
194,7.760673
195,7.800677
196,7.840681
197,7.8806840000000005
198,7.920687000000001
199,7.960691000000001
200,8.000695
201,8.040697
202,8.080701
203,8.120704
204,8.160708
205,8.200712
206,8.240715
207,8.280719
208,8.320722
209,8.360726
210,8.400729
211,8.440733
212,8.480735
213,8.520739
214,8.560743
215,8.600746000000001
216,8.64075
217,8.680754
218,8.720756
219,8.76076
220,8.800764000000001
221,8.840767
222,8.88077
223,8.920774
224,8.960777
225,9.000781
226,9.040785
227,9.080788
228,9.120792
229,9.160794
230,9.200798
231,9.240802
232,9.280805
233,9.320809
234,9.360812
235,9.400816
236,9.440819
237,9.480823000000001
238,9.520826
239,9.560829
240,9.600833
241,9.640836
242,9.68084
243,9.720844
244,9.760847
245,9.800851
246,9.840853000000001
247,9.880857
248,9.920861
249,9.960864
250,10.000868
251,10.040871
252,10.080874
253,10.120878
254,10.160882
255,10.200885
256,10.240889
257,10.280892
258,10.320895
259,10.360899
260,10.400903
261,10.440906
262,10.480909
263,10.520913
264,10.560917
265,10.60092
266,10.640923
267,10.680927
268,10.72093
269,10.760933
270,10.800937
271,10.840941
272,10.880944
273,10.920948
274,10.960951
275,11.000955
276,11.040958
277,11.080962
278,11.120965
279,11.160969
280,11.200972
281,11.240975
282,11.280978
283,11.320982
284,11.360986
285,11.400989
286,11.440993
287,11.480996
288,11.520999
289,11.561002
290,11.601006
291,11.64101
292,11.681014
293,11.721016
294,11.761021
295,11.801024
296,11.841028
297,11.881031
298,11.921034
299,11.961038
300,12.001041
301,12.041045
302,12.081048000000001
303,12.121051
304,12.161055
305,12.201059
306,12.241062
307,12.281066000000001
308,12.321069
309,12.361072
310,12.401076
311,12.44108
312,12.481083
313,12.521087
314,12.56109
315,12.601093
316,12.641097
317,12.6811
318,12.721104
319,12.761107
320,12.80111
321,12.841114
322,12.881118
323,12.92112
324,12.961124
325,13.001128
326,13.041131
327,13.081135
328,13.121138
329,13.161142
330,13.201146
331,13.241149
332,13.281152
333,13.321155000000001
334,13.361159
335,13.401162
336,13.441166
337,13.48117
338,13.521173000000001
339,13.561176
340,13.601179
341,13.641184
342,13.681186
343,13.721191
344,13.761194
345,13.801198
346,13.841201
347,13.881205
348,13.921207
349,13.961211
350,14.001214000000001
351,14.041218
352,14.081222
353,14.121225
354,14.161228
355,14.201232000000001
356,14.241235
357,14.281239
358,14.321243
359,14.361246
360,14.401250000000001
361,14.441252
362,14.481257
363,14.521259
364,14.561264
365,14.601267
366,14.64127
367,14.681274
368,14.721277
369,14.76128
370,14.801284
371,14.841288
372,14.881291000000001
373,14.921295
374,14.961298
375,15.001301
376,15.041305
377,15.081309000000001
378,15.121312
379,15.161316
380,15.201318
381,15.241322
382,15.281326
383,15.321329
384,15.361333
385,15.401336
386,15.441339
387,15.481343
388,15.521346
389,15.561350000000001
390,15.601354
391,15.641357
392,15.68136
393,15.721364
394,15.761367
395,15.801371
396,15.841374000000002
397,15.881378000000002
398,15.921381
399,15.961383999999999
400,16.001388
401,16.041391
402,16.081395
403,16.121398
404,16.161402
405,16.201406
406,16.241409
407,16.281412
408,16.321416
409,16.36142
410,16.401423
411,16.441427
412,16.48143
413,16.521434
414,16.561436
415,16.60144
416,16.641444
417,16.681447
418,16.72145
419,16.761454
420,16.801458
421,16.841461
422,16.881465
423,16.921467
424,16.961471
425,17.001475
426,17.041479
427,17.081482
428,17.121486
429,17.161489
430,17.201493
431,17.241496
432,17.281499
433,17.321503
434,17.361506
435,17.401509
436,17.441513
437,17.481516
438,17.52152
439,17.561523
440,17.601527
441,17.64153
442,17.681534
443,17.721538
444,17.76154
445,17.801544
446,17.841547
447,17.881551
448,17.921554
449,17.961558
450,18.001561
451,18.041565
452,18.081569000000002
453,18.121572
454,18.161575
455,18.201578
456,18.241583
457,18.281586
458,18.321589
459,18.361593
460,18.401597
461,18.4416
462,18.481604
463,18.521607
464,18.56161
465,18.601613
466,18.641617
467,18.681621
468,18.721624
469,18.761627
470,18.801631
471,18.841634
472,18.881638
473,18.921642
474,18.961645
475,19.001649
476,19.041651
477,19.081655
478,19.121659
479,19.161662
480,19.201666
481,19.241669
482,19.281673
483,19.321676
484,19.361679
485,19.401683
486,19.441686
487,19.48169
488,19.521694
489,19.561697
490,19.601701
491,19.641704
492,19.681707
493,19.721711
494,19.761715
495,19.801718
496,19.841721
497,19.881724
498,19.921729
499,19.961732
500,20.001735
501,20.041739
502,20.081742
503,20.121745
504,20.161749
505,20.201753
506,20.241756
507,20.281759
508,20.321763
509,20.361766
510,20.40177
511,20.441773
512,20.481776
513,20.52178
514,20.561784
515,20.601787
516,20.64179
517,20.681794
518,20.721798
519,20.761801
520,20.801805
521,20.841808
522,20.881812
523,20.921815
524,20.961818
525,21.001822
526,21.041825
527,21.081829
528,21.121832
529,21.161836
530,21.20184
531,21.241843
532,21.281846
533,21.32185
534,21.361853
535,21.401857
536,21.44186
537,21.481864
538,21.521867
539,21.56187
540,21.601874
541,21.641878
542,21.68188
543,21.721885
544,21.761887
545,21.801891
546,21.841895
547,21.881899
548,21.921901000000002
549,21.961905
550,22.001908
551,22.041912
552,22.081916
553,22.121919
554,22.161923
555,22.201926
556,22.24193
557,22.281933
558,22.321936
559,22.36194
560,22.401943
561,22.441946
562,22.481951
563,22.521953
564,22.561957
565,22.601961
566,22.641964
567,22.681968
568,22.721971
569,22.761974
570,22.801978000000002
571,22.841981
572,22.881985
573,22.921988
574,22.961992
575,23.001995
576,23.041998
577,23.082003
578,23.122006
579,23.162009
580,23.202012
581,23.242016
582,23.282019000000002
583,23.322023
584,23.362026
585,23.40203
586,23.442034
587,23.482037000000002
588,23.522041
589,23.562044
590,23.602048
591,23.642051
592,23.682054
593,23.722058
594,23.762061
595,23.802065
596,23.842068
597,23.882072
598,23.922076
599,23.962079
600,24.002082
601,24.042086
602,24.082089
603,24.122092
604,24.162096000000002
605,24.202099
606,24.242103
607,24.282106
608,24.32211
609,24.362113
610,24.402117
611,24.44212
612,24.482124
613,24.522128
614,24.562131
615,24.602134
616,24.642137
617,24.682141
618,24.722144
619,24.762148
620,24.802152
621,24.842155
622,24.882158
623,24.922162
624,24.962166
625,25.002169
626,25.042172
627,25.082175
628,25.122179
629,25.162182
630,25.202186
631,25.24219
632,25.282193
633,25.322196
634,25.3622
635,25.402204
636,25.442207
637,25.482211
638,25.522214
639,25.562217
640,25.602221
641,25.642224
642,25.682228
643,25.722232
644,25.762235
645,25.802239
646,25.842242
647,25.882245
648,25.922249
649,25.962252
650,26.002255
651,26.042259
652,26.082263
653,26.122266
654,26.16227
655,26.202273
656,26.242277
657,26.282279
658,26.322284
659,26.362287
660,26.40229
661,26.442294
662,26.482298
663,26.522301
664,26.562304
665,26.602308
666,26.642311
667,26.682315
668,26.722318
669,26.762322
670,26.802325
671,26.842329
672,26.882332
673,26.922336
674,26.962339
675,27.002343
676,27.042346
677,27.082349
678,27.122353
679,27.162357
680,27.20236
681,27.242363
682,27.282367
683,27.32237
684,27.362374
685,27.402377
686,27.44238
687,27.482384
688,27.522388
689,27.562391
690,27.602394
691,27.642398
692,27.682401
693,27.722405
694,27.762409
695,27.802412
696,27.842415
697,27.882418
698,27.922422
699,27.962426
700,28.002429
701,28.042432
702,28.082436
703,28.12244
704,28.162443
705,28.202446
706,28.24245
707,28.282454
708,28.322457
709,28.36246
710,28.402464
711,28.442467
712,28.482471
713,28.522474
714,28.562478
715,28.602481
716,28.642484
717,28.682488
718,28.722492
719,28.762495
720,28.802498
721,28.842502
722,28.882505
723,28.922509
724,28.962512
725,29.002516
726,29.042519
727,29.082523
728,29.122526
729,29.162529
730,29.202534
731,29.242537
732,29.28254
733,29.322543
734,29.362547
735,29.40255
736,29.442554
737,29.482558
738,29.522561
739,29.562565
740,29.602568
741,29.642572
742,29.682574
743,29.722579
744,29.762582
745,29.802586
746,29.842589
747,29.882592
748,29.922596
749,29.962599
750,30.002603
751,30.042606
752,30.08261
753,30.122613
754,30.162617
755,30.20262
756,30.242623000000002
757,30.282626
758,30.32263
759,30.362634
760,30.402638
761,30.442641
762,30.482645
763,30.522648
764,30.562652
765,30.602655
766,30.642658
767,30.682662
768,30.722665
769,30.762669
770,30.802672
771,30.842675
772,30.882679
773,30.922682000000002
774,30.962685
775,31.00269
776,31.042693
777,31.082696
778,31.122700000000002
779,31.162703
780,31.202707
781,31.242711
782,31.282713
783,31.322717
784,31.362721
785,31.402724
786,31.442728
787,31.482731
788,31.522735
789,31.562738
790,31.602742
791,31.642745
792,31.682749
793,31.722752
794,31.762755
795,31.802758
796,31.842761999999997
797,31.882766
798,31.922769
799,31.962771999999998
800,32.002776999999995
801,32.04277999999999
802,32.082783
803,32.122786
804,32.162789999999994
805,32.202794
806,32.242796999999996
807,32.282799999999995
808,32.322804
809,32.362807
810,32.402811
811,32.442814
812,32.482817999999995
